Citation,Year,Time of pattern comparison,HPC subregions,Within- vs. across-stimulus,Similarity increase/decrease/null,Link
"Bonnici, H. M., Chadwick, M. J., Lutti, A., Hassabis, D., Weiskopf, N., & Maguire, E. A. (2012). Detecting representations of recent and remote autobiographical memories in vmPFC and hippocampus. Journal of Neuroscience, 32(47), 16982-16991.",2012,Retrieval,aHPC vs. pHPC,Within,Increase,https://www.jneurosci.org/content/32/47/16982.short
"Bonnici, H. M., Kumaran, D., Chadwick, M. J., Weiskopf, N., Hassabis, D., & Maguire, E. A. (2012). Decoding representations of scenes in the medial temporal lobes. Hippocampus, 22(5), 1143-1153.",2012,Encoding,N/A,Within,Increase,https://onlinelibrary.wiley.com/doi/full/10.1002/hipo.20960
"Brunec, I. K., Bellana, B., Ozubko, J. D., Man, V., Robin, J., Liu, Z. X., ... & Moscovitch, M. (2018). Multiple scales of representation along the hippocampal anteroposterior axis in humans. Current Biology, 28(13), 2129-2135.",2018,Navigation/Resting state,aHPC vs. pHPC,Other,,https://www.sciencedirect.com/science/article/pii/S0960982218306183
"Chadwick, M. J., Hassabis, D., & Maguire, E. A. (2011). Decoding overlapping memories in the medial temporal lobes using high-resolution fMRI. Learning & Memory, 18(12), 742-746.",2011,Retrieval,N/A,Within,Increase,http://learnmem.cshlp.org/content/18/12/742.short
"Chadwick, M. J., Hassabis, D., Weiskopf, N., & Maguire, E. A. (2010). Decoding individual episodic memory traces in the human hippocampus. Current Biology, 20(6), 544-547.",2010,Retrieval,Searchlight,Within,Increase,https://www.sciencedirect.com/science/article/pii/S0960982210001429
"Chadwick, M. J., Jolly, A. E., Amos, D. P., Hassabis, D., & Spiers, H. J. (2015). A goal direction signal in the human entorhinal/subicular region. Current Biology, 25(1), 87-92.",2015,Retrieval,Searchlight,Across: heading direction,Increase,https://www.sciencedirect.com/science/article/pii/S0960982214014274
"Chanales, A. J., Oza, A., Favila, S. E., & Kuhl, B. A. (2017). Overlap among spatial memories triggers repulsion of hippocampal representations. Current Biology, 27(15), 2307-2317.",2017,Encoding,N/A,Across: route,Decrease,https://www.sciencedirect.com/science/article/pii/S0960982217307947
"Collin, S. H., Milivojevic, B., & Doeller, C. F. (2015). Memory hierarchies map onto the hippocampal long axis in humans. Nature neuroscience, 18(11), 1562-1564.",2015,Encoding,aHPC vs. pHPC,Across: event narrative network complexity,Increase,https://www.nature.com/articles/nn.4138/
"Copara, M. S., Hassan, A. S., Kyle, C. T., Libby, L. A., Ranganath, C., & Ekstrom, A. D. (2014). Complementary roles of human hippocampal subregions during retrieval of spatiotemporal context. Journal of Neuroscience, 34(20), 6834-6842.",2014,Retrieval,Subfields,Across: full vs. partial retrieval,Decrease,https://www.jneurosci.org/content/34/20/6834.short
"Córdova, N. I., Turk?Browne, N. B., & Aly, M. (2019). Focusing on what matters: Modulation of the human hippocampus by relational attention. Hippocampus, 29(11), 1025-1037.",2017,Retrieval,Subfields,Across: task type (relational vs. item),Increase,https://onlinelibrary.wiley.com/doi/abs/10.1002/hipo.23082
"Dandolo, L. C., & Schwabe, L. (2018). Time-dependent memory transformation along the hippocampal anterior–posterior axis. Nature Communications, 9(1), 1-11.",2018,Retrieval,aHPC vs. pHPC,Across: novelty & relatedness,Increase,https://www.nature.com/articles/s41467-018-03661-7
"Deuker, L., Bellmund, J. L., Schröder, T. N., & Doeller, C. F. (2016). An event map of memory space in the hippocampus. Elife, 5, e16534.",2016,ERS (pre- vs. post-experience),Searchlight,Across: spatiotemporal proximity,Increase,https://elifesciences.org/articles/16534
"Dimsdale-Zucker, H. R., Ritchey, M., Ekstrom, A. D., Yonelinas, A. P., & Ranganath, C. (2018). CA1 and CA3 differentially support spontaneous retrieval of episodic contexts within human hippocampal subfields. Nature communications, 9(1), 1-8.",2018,Retrieval,Subfields,Across: spatial & temporal context,Increase & Decrease,https://www.nature.com/articles/s41467-017-02752-1
"Doxey, C. R., Hodges, C. B., Bodily, T. A., Muncy, N. M., & Kirwan, C. B. (2018). The effects of sleep on the neural correlates of pattern separation. Hippocampus, 28(2), 108-120.",2018,Retrieval,"Subfields, aHPC vs. pHPC",Across: subsequent memory,Increase,https://onlinelibrary.wiley.com/doi/abs/10.1002/hipo.22814
"DuBrow, S., & Davachi, L. (2014). Temporal memory is shaped by encoding stability and intervening item reactivation. Journal of Neuroscience, 34(42), 13998-14005.",2014,Encoding,N/A,Across: context boundary,Increase,https://www.jneurosci.org/content/34/42/13998.short
"Ezzyat, Y., & Davachi, L. (2014). Similarity breeds proximity: pattern similarity within and across contexts is related to later mnemonic judgments of temporal proximity. Neuron, 81(5), 1179-1189.",2014,Encoding,N/A,Across: temporal proximity,Increase,https://www.sciencedirect.com/science/article/pii/S0896627314000737
"Ezzyat, Y., Inhoff, M. C., & Davachi, L. (2018). Differentiation of human medial prefrontal cortex activity underlies long-term resistance to forgetting in memory. Journal of Neuroscience, 38(48), 10244-10254.",2018,Retrieval,N/A,Across: association,Decrease,https://www.jneurosci.org/content/38/48/10244.short
"Fandakova, Y., Leckey, S., Driver, C. C., Bunge, S. A., & Ghetti, S. (2019). Neural specificity of scene representations is related to memory performance in childhood. NeuroImage, 199, 105-113.",2019,Encoding,aHPC,Within,Increase,https://www.sciencedirect.com/science/article/abs/pii/S1053811919304422
"Favila, S. E., Chanales, A. J. H., & Kuhl, B. A. (2016). Experience-dependent hippocampal pattern differentiation prevents interference during subsequent learning. Nature Communications, 7(1), 11066.",2016,Retrieval,N/A,Across: scene pairs,Increase & Decrease,https://www.nature.com/articles/ncomms11066/
"Ferreira, C. S., Charest, I., & Wimber, M. (2019). Retrieval aids the creation of a generalised memory trace and strengthens episode-unique information. NeuroImage, 201, 115996.",2019,"Encoding, Retrieval (Restudy)",Searchlight,Within & Across: episode-unique & semantic similarity,Null,https://www.sciencedirect.com/science/article/abs/pii/S1053811919305774
"Gruber, M. J., Ritchey, M., Wang, S. F., Doss, M. K., & Ranganath, C. (2016). Post-learning hippocampal dynamics promote preferential retention of rewarding events. Neuron, 89(5), 1110-1120.",2016,Encoding vs. Rest,N/A,Other,,https://www.sciencedirect.com/science/article/pii/S0896627316000180
"Hannula, D. E., Libby, L. A., Yonelinas, A. P., & Ranganath, C. (2013). Medial temporal lobe contributions to cued retrieval of items and contexts. Neuropsychologia, 51(12), 2322-2332.",2013,Retrieval,aHPC vs. pHPC,Across: R/F & context,Increase,https://www.sciencedirect.com/science/article/abs/pii/S0028393213000535
"Hassabis, D., Chu, C., Rees, G., Weiskopf, N., Molyneux, P. D., & Maguire, E. A. (2009). Decoding neuronal ensembles in the human hippocampus. Current Biology, 19(7), 546-554.",2009,Retrieval,Searchlight,Within,Increase,https://www.sciencedirect.com/science/article/pii/S0960982209007416
"Hsieh, L. T., Gruber, M. J., Jenkins, L. J., & Ranganath, C. (2014). Hippocampal activity patterns carry information about objects in temporal context. Neuron, 81(5), 1165-1178.",2014,Retrieval,aHPC vs. pHPC,Within & Across: sequence overlap,Increase & Decrease,https://www.sciencedirect.com/science/article/pii/S0896627314000208
"Huffman, D. J., & Stark, C. E. (2014). Multivariate pattern analysis of the human medial temporal lobe revealed representationally categorical cortex and representationally agnostic hippocampus. Hippocampus, 24(11), 1394-1403.",2014,Encoding,Searchlight,Across: semantic category,Null,https://onlinelibrary.wiley.com/doi/abs/10.1002/hipo.22321
"Huffman, D. J., & Stark, C. E. (2017). The influence of low-level stimulus features on the representation of contexts, items, and their mnemonic associations. NeuroImage, 155, 513-529.",2017,Retrieval,N/A,Across: context/visual similarity,Increase & Null,https://www.sciencedirect.com/science/article/abs/pii/S1053811917303105
"Hulbert, J. C., & Norman, K. A. (2015). Neural differentiation tracks improved recall of competing memories following interleaved study and retrieval practice. Cerebral Cortex, 25(10), 3994-4008.",2014,ERS (pre- vs. post-experience),N/A,Across: learning set,Decrease,https://academic.oup.com/cercor/article/25/10/3994/394658
"Jenkins, L. J., & Ranganath, C. (2016). Distinct neural mechanisms for remembering when an event occurred. Hippocampus, 26(5), 554-559.",2016,Encoding,aHPC vs. pHPC,Across: temporal context,Decrease,https://onlinelibrary.wiley.com/doi/abs/10.1002/hipo.22571
"Jiang, J., Brashier, N. M., & Egner, T. (2015). Memory meets control in hippocampal and striatal binding of stimuli, responses, and attentional control states. Journal of Neuroscience, 35(44), 14885-14895.",2015,Encoding,Searchlight,"Across: levels of abstraction (congruency, category, identity)",Increase,https://www.jneurosci.org/content/35/44/14885.short
"Jonker, T. R., Dimsdale-Zucker, H., Ritchey, M., Clarke, A., & Ranganath, C. (2018). Neural reactivation in parietal cortex enhances memory for episodically linked information. Proceedings of the National Academy of Sciences, 115(43), 11084-11089.",2018,ERS (encoding vs. restudy),aHPC vs. pHPC,Within,Increase,https://www.pnas.org/content/115/43/11084.short
"Kafkas, A., Migo, E. M., Morris, R. G., Kopelman, M. D., Montaldi, D., & Mayes, A. R. (2017). Material specificity drives medial temporal lobe familiarity but not hippocampal recollection. Hippocampus, 27(2), 194-209.",2017,Retrieval,N/A,"Across: stimulus type (scenes, objects, faces)",Null,https://onlinelibrary.wiley.com/doi/full/10.1002/hipo.22683
"Kalm, K., Davis, M. H., & Norris, D. (2013). Individual sequence representations in the medial temporal lobe. Journal of Cognitive Neuroscience, 25(7), 1111-1121.",2013,Encoding,Searchlight,Within,Increase,https://www.mitpressjournals.org/doi/abs/10.1162/jocn_a_00378
"Kim, M., & Maguire, E. A. (2019). Encoding of 3D head direction information in the human brain. Hippocampus, 29(7), 619-629.",2018,Encoding,Searchlight,Across: heading direction,Increase,https://onlinelibrary.wiley.com/doi/full/10.1002/hipo.23060
"Kim, M., Jeffery, K. J., & Maguire, E. A. (2017). Multivoxel pattern analysis reveals 3D place information in the human hippocampus. Journal of Neuroscience, 37(16), 4270-4279.",2017,Encoding,aHPC vs. pHPC,Across: 3D direction,Increase,https://www.jneurosci.org/content/37/16/4270.abstract
"Kirwan, C. B., Ashby, S. R., & Nash, M. I. (2014). Remembering and imagining differentially engage the hippocampus: a multivariate fMRI investigation. Cognitive neuroscience, 5(3-4), 177-185.",2014,Retrieval,N/A,Across: remembered vs. imagined events,Increase,https://www.tandfonline.com/doi/abs/10.1080/17588928.2014.933203
"Kluen, L. M., Dandolo, L. C., Jocham, G., & Schwabe, L. (2019). Dorsolateral Prefrontal Cortex Enables Updating of Established Memories. Cerebral Cortex, 29(10), 4154-4168.",2019,"Encoding, Retrieval",N/A,Across: updated vs. non-updated memories,Null,https://academic.oup.com/cercor/article-abstract/29/10/4154/5232538
"Kok, P., & Turk-Browne, N. B. (2018). Associative prediction of visual shape in the hippocampus. Journal of Neuroscience, 38(31), 6888-6899.",2018,"Encoding, Retrieval - Prediction",Subfields,Within,Increase,https://www.jneurosci.org/content/38/31/6888.short
"Koolschijn, R. S., Emir, U. E., Pantelides, A. C., Nili, H., Behrens, T. E., & Barron, H. C. (2019). The hippocampus and neocortical inhibitory engrams protect against memory interference. Neuron, 101(3), 528-541.",2019,Retrieval,N/A,Across: stimulus network structure context,Decrease,https://www.sciencedirect.com/science/article/pii/S0896627318310511
"Kragel, J. E., & Polyn, S. M. (2016). Decoding episodic retrieval processes: Frontoparietal and medial temporal lobe contributions to free recall. Journal of Cognitive Neuroscience, 28(1), 125-139.",2016,Retrieval,Searchlight,Across: source retrieval,Increase,https://www.mitpressjournals.org/doi/abs/10.1162/jocn_a_00881
"Kuhl, B. A., Rissman, J., & Wagner, A. D. (2012). Multi-voxel patterns of visual category representation during episodic Encoding are predictive of subsequent memory. Neuropsychologia, 50(4), 458-469.",2012,Encoding,N/A,Across: stimulus category,Increase,https://www.sciencedirect.com/science/article/abs/pii/S0028393211004088
"Kyle, C. T., Smuda, D. N., Hassan, A. S., & Ekstrom, A. D. (2015). Roles of human hippocampal subfields in retrieval of spatial and temporal context. Behavioural brain research, 278, 549-558.",2015,Retrieval,Subfields,Across: spatiotemporal proximity,Increase & Decrease,https://www.sciencedirect.com/science/article/pii/S0166432814006998
"Kyle, C. T., Stokes, J. D., Lieberman, J. S., Hassan, A. S., & Ekstrom, A. D. (2015). Successful retrieval of competing spatial environments in humans involves hippocampal pattern separation mechanisms. Elife, 4, e10499.",2015,Retrieval,Subfields,Across: locations within spatial contexts,Increase,https://elifesciences.org/articles/10499
"LaRocque, K. F., Smith, M. E., Carr, V. A., Witthoft, N., Grill-Spector, K., & Wagner, A. D. (2013). Global similarity and pattern separation in the human medial temporal lobe predict subsequent memory. Journal of Neuroscience, 33(13), 5466-5474.",2013,Encoding,N/A,Across: semantic category & remembered/forgotten,Null & Decrease,https://www.jneurosci.org/content/33/13/5466.short
"Lee, A. C., Brodersen, K. H., & Rudebeck, S. R. (2013). Disentangling spatial perception and spatial memory in the hippocampus: A univariate and multivariate pattern analysis fMRI study. Journal of cognitive neuroscience, 25(4), 534-546.",2013,Encoding,Searchlight,Within,Increase,https://www.mitpressjournals.org/doi/abs/10.1162/jocn_a_00301
"Lee, S. H., Kravitz, D. J., & Baker, C. I. (2019). Differential representations of perceived and retrieved visual information in hippocampus and cortex. Cerebral Cortex, 29(10), 4452-4461.",2019,"Encoding, Retrieval",N/A,"Within & Across: same vs. different objects, objects vs. faces",Increase & Null,https://academic.oup.com/cercor/article/29/10/4452/5257445
"Liang, J. C., & Preston, A. R. (2017). Medial temporal lobe reinstatement of content-specific details predicts source memory. cortex, 91, 67-78.",2017,ERS,aHPC/mHPC/pHPC,Within,Increase,https://www.sciencedirect.com/science/article/abs/pii/S0010945216302581
"Liang, J. C., Wagner, A. D., & Preston, A. R. (2013). Content representation in the human medial temporal lobe. Cerebral Cortex, 23(1), 80-96.",2013,Encoding,aHPC vs. pHPC,Across: stimulus category/type,Increase,https://academic.oup.com/cercor/article-abstract/23/1/80/329395
"Libby, L. A., Hannula, D. E., & Ranganath, C. (2014). Medial temporal lobe coding of item and spatial information during relational binding in working memory. Journal of Neuroscience, 34(43), 14233-14242.",2014,"Encoding, ERS",Searchlight,Within & Across: memory success & spatial layout,Increase,https://www.jneurosci.org/content/34/43/14233.short
"Libby, L. A., Reagh, Z. M., Bouffard, N. R., Ragland, J. D., & Ranganath, C. (2019). The hippocampus generalizes across memories that share item and context information. Journal of cognitive neuroscience, 31(1), 24-35.",2018,Retrieval,Searchlight,Across: context & semantic relatedness,Increase,https://www.mitpressjournals.org/doi/abs/10.1162/jocn_a_01345
"Liuzzi, A. G., Dupont, P., Peeters, R., Bruffaerts, R., De Deyne, S., Storms, G., & Vandenberghe, R. (2019). Left perirhinal cortex codes for semantic similarity between written words defined from cued word association. NeuroImage, 191, 127-139.",2019,Encoding,N/A,Across: semantic similarity,Null,https://www.sciencedirect.com/science/article/pii/S1053811919300977
"Mack, M. L., Love, B. C., & Preston, A. R. (2016). Dynamic updating of hippocampal object representations reflects new conceptual knowledge. Proceedings of the National Academy of Sciences, 113(46), 13203-13208.",2016,Encoding,Searchlight,Across: attentional weight by category learning model,Increase,https://www.pnas.org/content/113/46/13203.short
"Mack, M. L., & Preston, A. R. (2016). Decisions about the past are guided by reinstatement of specific memories in the hippocampus and perirhinal cortex. Neuroimage, 127, 144-157.",2016,ERS,N/A,Within,Increase,https://www.sciencedirect.com/science/article/abs/pii/S1053811915011283
"Manelis, A., Reder, L. M., & Hanson, S. J. (2011). Dynamic Changes In The Medial Temporal Lobe During Incidental Learning Of Objectâ€“Location Associations. Cerebral cortex, 22(4), 828-837.",2011,Encoding,N/A,Within,Decrease,https://academic.oup.com/cercor/article-abstract/22/4/828/420928
"Martin, C. B., McLean, D. A., O'Neil, E. B., & Köhler, S. (2013). Distinct familiarity-based response patterns for faces and buildings in perirhinal and parahippocampal cortex. Journal of Neuroscience, 33(26), 10915-10923.",2013,Retrieval,aHPC vs. pHPC,Across: stimulus category,Null,https://www.jneurosci.org/content/33/26/10915.short
"Milivojevic, B., Varadinov, M., Grabovetsky, A. V., Collin, S. H., & Doeller, C. F. (2016). Coding of event nodes and narrative context in the hippocampus. Journal of Neuroscience, 36(49), 12412-12424.",2016,Encoding,Searchlight,Across: narrative/context,Increase,https://www.jneurosci.org/content/36/49/12412.abstract
"Milivojevic, B., Vicente-Grabovetsky, A., & Doeller, C. F. (2015). Insight reconfigures hippocampal-prefrontal memories. Current Biology, 25(7), 821-830.",2015,ERS (pre- vs. post-experience),aHPC vs. pHPC,Across: event narrative,Increase,https://www.sciencedirect.com/science/article/pii/S0960982215000652
"Morgan, L. K., MacEvoy, S. P., Aguirre, G. K., & Epstein, R. A. (2011). Distances between real-world locations are represented in the human hippocampus. Journal of Neuroscience, 31(4), 1238-1245.",2011,Retrieval,Searchlight,Across: landmark identity & distance,Null,https://www.jneurosci.org/content/31/4/1238
"Nielson, D. M., Smith, T. A., Sreekumar, V., Dennis, S., & Sederberg, P. B. (2015). Human hippocampus represents space and time during retrieval of real-world memories. Proceedings of the National Academy of Sciences, 112(35), 11078-11083.",2015,Retrieval,aHPC vs. pHPC,Across: spatiotemporal proximity,Increase,https://www.pnas.org/content/112/35/11078.short
"Oedekoven, C. S., Keidel, J. L., Berens, S. C., & Bird, C. M. (2017). Reinstatement of memory representations for lifelike events over the course of a week. Scientific Reports, 7(1), 1-12.",2017,Retrieval,Searchlight,Within,Increase,https://www.nature.com/articles/s41598-017-13938-4
"Raykov, P. P., Keidel, J. L., Oakhill, J., & Bird, C. M. (2020). The brain regions supporting schema-related processing of people’s identities. Cognitive Neuropsychology, 37(1-2), 8-24.",2020,Encoding,aHPC vs. pHPC,Across: character identity & familiarity,Null,https://www.tandfonline.com/doi/abs/10.1080/02643294.2019.1685958
"Ren, J., Huang, F., Zhou, Y., Zhuang, L., Xu, J., Gao, C., ... & Luo, J. (2020). The function of the hippocampus and middle temporal gyrus in forming new associations and concepts during the processing of novelty and usefulness features in creative designs. NeuroImage, 116751.",2020,Encoding,N/A,Across: usefulness of objects,Null,https://www.sciencedirect.com/science/article/pii/S105381192030238X
"Rissman, J., Chow, T. E., Reggente, N., & Wagner, A. D. (2016). Decoding fMRI signatures of real-world autobiographical memory retrieval. Journal of cognitive neuroscience, 28(4), 604-620.",2016,Retrieval,Searchlight,Across: memory success,Increase,https://www.mitpressjournals.org/doi/abs/10.1162/jocn_a_00920
"Ritchey, M., Montchal, M. E., Yonelinas, A. P., & Ranganath, C. (2015). Delay-dependent contributions of medial temporal lobe regions to episodic memory retrieval. eLife, 4, e05025.",2015,Retrieval,aHPC vs. pHPC,Across: spatial context,Increase,https://elifesciences.org/articles/05025
"Robin, J., Buchsbaum, B. R., & Moscovitch, M. (2018). The primacy of spatial context in the neural representation of events. Journal of Neuroscience, 38(11), 2755-2765.",2018,Encoding,Searchlight,Within & Across: mnemonic element,Increase & Null,https://www.jneurosci.org/content/38/11/2755.abstract
"Sadeh, T., Chen, J., Goshen?Gottstein, Y., & Moscovitch, M. (2019). Overlap between hippocampal pre?encoding and encoding patterns supports episodic memory. Hippocampus, 29(9), 836-847.",2019,ERS (pre-encoding to encoding similarity),N/A,Other,,https://onlinelibrary.wiley.com/doi/abs/10.1002/hipo.23079
"Schapiro, A. C., Kustner, L. V., & Turk-Browne, N. B. (2012). Shaping of object representations in the human medial temporal lobe based on temporal regularities. Current biology, 22(17), 1622-1627.",2012,ERS (pre- vs. post-experience),Subfields,Across: temporal link strength,Increase,https://www.sciencedirect.com/science/article/pii/S0960982212007324
"Schapiro, A. C., McDevitt, E. A., Rogers, T. T., Mednick, S. C., & Norman, K. A. (2018). Human hippocampal replay during rest prioritizes weakly learned information and predicts memory performance. Nature communications, 9(1), 1-11.",2018,Encoding-Rest,N/A,Other,,https://www.nature.com/articles/s41467-018-06213-1
"Schlichting, M. L., Zeithamova, D., & Preston, A. R. (2014). CA1 subfield contributions to memory integration and inference. Hippocampus, 24(10), 1248-1260.",2014,ERS,"Subfields, aHPC vs. pHPC",Across: accuracy of associative inference,Increase,https://onlinelibrary.wiley.com/doi/abs/10.1002/hipo.22310
"Schlichting, M. L., Mumford, J. A., & Preston, A. R. (2015). Learning-related representational changes reveal dissociable integration and separation signatures in the hippocampus and prefrontal cortex. Nature Communications, 6, 8151.",2015,ERS (pre- vs. post-experience),Searchlight,Across: inferred associate,Increase & Decrease,https://www.nature.com/articles/ncomms9151
"Senoussi, M., Berry, I., VanRullen, R., & Reddy, L. (2016). Multivoxel object representations in adult human visual cortex are flexible: an associative learning study. Journal of cognitive neuroscience, 28(6), 852-868.",2016,Retrieval,N/A,Across: semantic category,Null,https://www.mitpressjournals.org/doi/full/10.1162/jocn_a_00933
"Shine, J. P., Valdes-Herrera, J. P., Tempelmann, C., & Wolbers, T. (2019). Evidence for allocentric boundary and goal direction information in the human entorhinal cortex and subiculum. Nature communications, 10(1), 1-10.",2019,Retrieval,Subiculum,Across: allocentric direction,Increase,https://www.nature.com/articles/s41467-019-11802-9
"Staresina, B. P., Henson, R. N., Kriegeskorte, N., & Alink, A. (2012). Episodic reinstatement in the medial temporal lobe. Journal of Neuroscience, 32(50), 18150-18156.",2012,ERS,N/A,Within,Null,https://www.jneurosci.org/content/32/50/18150.short
"St-Laurent, M., Abdi, H., & Buchsbaum, B. R. (2015). Distributed patterns of reactivation predict vividness of recollection. Journal of Cognitive Neuroscience, 27(10), 2000-2018.",2015,ERS,Searchlight,Within,Increase,https://www.mitpressjournals.org/doi/abs/10.1162/jocn_a_00839
"St-Laurent, M., Abdi, H., Bondad, A., & Buchsbaum, B. R. (2014). Memory reactivation in healthy aging: evidence of stimulus-specific dedifferentiation. Journal of Neuroscience, 34(12), 4175-4186.",2014,ERS,Searchlight,Within,Increase,https://www.jneurosci.org/content/34/12/4175.short
"Stokes, J., Kyle, C., & Ekstrom, A. D. (2015). Complementary roles of human hippocampal subfields in differentiation and integration of spatial context. Journal of cognitive neuroscience, 27(3), 546-559.",2015,Retrieval,Subfields,Across: spatial context,Increase,https://www.mitpressjournals.org/doi/abs/10.1162/jocn_a_00736
"Sulpizio, V., Committeri, G., & Galati, G. (2014). Distributed cognitive maps reflecting real distances between places and views in the human brain. Frontiers in Human Neuroscience, 8, 716.",2014,Encoding,aHPC vs. pHPC,Across: view/heading direction,Increase,https://www.frontiersin.org/articles/10.3389/fnhum.2014.00716/full
"Tambini, A., & Davachi, L. (2013). Persistence of hippocampal multivoxel patterns into postencoding rest is related to memory. Proceedings of the National Academy of Sciences, 110(48), 19591-19596.",2013,ERS (encoding-rest similarity),N/A,Other,,https://www.pnas.org/content/110/48/19591.short
"Thakral, P.P., Madore, K.P., Addis, D.R., & Schacter, D.L. (2020). Reinstatement of Event Details during Episodic Simulation in the Hippocampus. Cerebral Cortex, 30(4), 2321-37.",2020,Retrieval,N/A,Across: vividness & event details,Increase,https://academic.oup.com/cercor/article-abstract/30/4/2321/5614446
"Thavabalasingam, S., O'Neil, E. B., & Lee, A. C. (2018). Multivoxel pattern similarity suggests the integration of temporal duration in hippocampal event sequence representations. NeuroImage, 178, 136-146.",2018,ERS,N/A,Within,Increase,https://www.sciencedirect.com/science/article/abs/pii/S1053811918304439
"Theves, S., Fernandez, G., & Doeller, C. F. (2019). The Hippocampus Encodes Distances in Multidimensional Feature Space. Current Biology, 29(7), 1226-1231.e3. ",2019,ERS (pre- vs. post-experience),aHPC vs. pHPC,Across: similarity of associated features along continuous dimensions,Increase,https://www.sciencedirect.com/science/article/pii/S0960982219302052
"Tompary, A., & Davachi, L. (2017). Consolidation promotes the emergence of representational overlap in the hippocampus and medial prefrontal cortex. Neuron, 96(1), 228-241.",2017,"Encoding, Retrieval, ERS",aHPC vs. pHPC,Within & Across: overlapping associative pair,Increase & Decrease,https://www.sciencedirect.com/science/article/pii/S0896627317308401
"Tompary, A., Duncan, K., & Davachi, L. (2016). High?resolution investigation of memory?specific reinstatement in the hippocampus and perirhinal cortex. Hippocampus, 26(8), 995-1007.",2016,ERS,Subfields,Within,Increase,https://onlinelibrary.wiley.com/doi/abs/10.1002/hipo.22582
"Uncapher, M. R., Boyd-Meredith, J. T., Chow, T. E., Rissman, J., & Wagner, A. D. (2015). Goal-directed modulation of neural memory patterns: Implications for fMRI-based memory detection. Journal of Neuroscience, 35(22), 8531-8545.",2015,Retrieval,N/A,Across: memory success,Increase,https://www.jneurosci.org/content/35/22/8531.short
"van den Honert, R. N., McCarthy, G., & Johnson, M. K. (2016). Reactivation during encoding supports the later discrimination of similar episodic memories. Hippocampus, 26(9), 1168-1178.",2016,Encoding,N/A,Across: visual/semantic similarity,Increase,https://onlinelibrary.wiley.com/doi/abs/10.1002/hipo.22598
"van den Honert, R. N., McCarthy, G., & Johnson, M. K. (2017). Holistic versus feature-based binding in the medial temporal lobe. Cortex, 91, 56-66.",2017,Encoding,N/A,Within & Across: stimulus features & location,Increase & Null,https://www.sciencedirect.com/science/article/abs/pii/S0010945217300175
